2026-06-10 00:55:39.420 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-10 00:55:39.485 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 00:55:39.941 | chroma_client | INFO     | Initialized ChromaDB PersistentClient at ./data/chromadb
2026-06-10 00:55:39.951 | chroma_client | DEBUG    | Verified collection: founders_mindsets
2026-06-10 00:55:39.951 | chroma_client | DEBUG    | Verified collection: campaign_case_studies
2026-06-10 00:55:39.952 | chroma_client | DEBUG    | Verified collection: cmo_profiles
2026-06-10 00:55:39.952 | chroma_client | DEBUG    | Verified collection: market_data_reports
2026-06-10 00:55:39.952 | chroma_client | DEBUG    | Verified collection: consumer_psychology
2026-06-10 00:55:39.952 | chroma_client | DEBUG    | Verified collection: books_annotations
2026-06-10 00:55:39.953 | chroma_client | DEBUG    | Verified collection: social_intelligence
2026-06-10 00:55:39.953 | chroma_client | DEBUG    | Verified collection: startup_context
2026-06-10 00:55:40.044 | youtube_ingester | INFO     | Processing YouTube video: fWm_NKCtXdA
2026-06-10 00:56:06.035 | youtube_ingester | INFO     | Video fWm_NKCtXdA processed. Method: api. Duration: 440s
2026-06-10 00:56:06.039 | youtube_ingester | INFO     | Saved processed transcript to data/knowledge_base/youtube/fWm_NKCtXdA.json
2026-06-10 00:56:06.043 | embedder | ERROR    | Gemini embedding error: Models.embed_content() got an unexpected keyword argument 'content'. Did you mean 'contents'?
2026-06-10 00:56:06.102 | source_registry | DEBUG    | Chroma query failed during deduplication: list index out of range in query.
2026-06-10 00:59:33.283 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-10 00:59:33.331 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 00:59:33.776 | chroma_client | INFO     | Initialized ChromaDB PersistentClient at ./data/chromadb
2026-06-10 00:59:33.785 | chroma_client | DEBUG    | Verified collection: founders_mindsets
2026-06-10 00:59:33.786 | chroma_client | DEBUG    | Verified collection: campaign_case_studies
2026-06-10 00:59:33.786 | chroma_client | DEBUG    | Verified collection: cmo_profiles
2026-06-10 00:59:33.786 | chroma_client | DEBUG    | Verified collection: market_data_reports
2026-06-10 00:59:33.786 | chroma_client | DEBUG    | Verified collection: consumer_psychology
2026-06-10 00:59:33.787 | chroma_client | DEBUG    | Verified collection: books_annotations
2026-06-10 00:59:33.787 | chroma_client | DEBUG    | Verified collection: social_intelligence
2026-06-10 00:59:33.787 | chroma_client | DEBUG    | Verified collection: startup_context
2026-06-10 00:59:33.878 | youtube_ingester | INFO     | Processing YouTube video: fWm_NKCtXdA
2026-06-10 00:59:55.836 | youtube_ingester | INFO     | Video fWm_NKCtXdA processed. Method: api. Duration: 440s
2026-06-10 00:59:55.839 | youtube_ingester | INFO     | Saved processed transcript to data/knowledge_base/youtube/fWm_NKCtXdA.json
2026-06-10 00:59:57.192 | embedder | ERROR    | Gemini embedding error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-06-10 00:59:57.236 | source_registry | DEBUG    | Chroma query failed during deduplication: list index out of range in query.
2026-06-10 01:23:32.685 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-10 01:23:32.735 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 01:23:33.185 | chroma_client | INFO     | Initialized ChromaDB PersistentClient at ./data/chromadb
2026-06-10 01:23:33.195 | chroma_client | DEBUG    | Verified collection: founders_mindsets
2026-06-10 01:23:33.196 | chroma_client | DEBUG    | Verified collection: campaign_case_studies
2026-06-10 01:23:33.196 | chroma_client | DEBUG    | Verified collection: cmo_profiles
2026-06-10 01:23:33.196 | chroma_client | DEBUG    | Verified collection: market_data_reports
2026-06-10 01:23:33.197 | chroma_client | DEBUG    | Verified collection: consumer_psychology
2026-06-10 01:23:33.197 | chroma_client | DEBUG    | Verified collection: books_annotations
2026-06-10 01:23:33.197 | chroma_client | DEBUG    | Verified collection: social_intelligence
2026-06-10 01:23:33.198 | chroma_client | DEBUG    | Verified collection: startup_context
2026-06-10 01:23:33.291 | youtube_ingester | INFO     | Processing YouTube video: fWm_NKCtXdA
2026-06-10 01:23:44.172 | youtube_ingester | INFO     | Video fWm_NKCtXdA processed. Method: api. Duration: 440s
2026-06-10 01:23:44.175 | youtube_ingester | INFO     | Saved processed transcript to data/knowledge_base/youtube/fWm_NKCtXdA.json
2026-06-10 01:23:49.185 | source_registry | DEBUG    | Chroma query failed during deduplication: Collection expecting embedding with dimension of 1024, got 3072
