2026-06-06 19:01:17.847 | embedder | INFO     | Loading multilingual embedding model: intfloat/multilingual-e5-large
2026-06-06 19:01:43.155 | embedder | INFO     | Embedded batch of 10 items using intfloat/multilingual-e5-large in 25.306s
2026-06-09 12:21:35.716 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-09 12:21:35.782 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-09 12:21:36.530 | embedder | ERROR    | Gemini embedding error: Models.embed_content() got an unexpected keyword argument 'content'. Did you mean 'contents'?
2026-06-09 12:21:37.036 | embedder | ERROR    | Gemini embedding error: Models.embed_content() got an unexpected keyword argument 'content'. Did you mean 'contents'?
2026-06-09 12:21:37.036 | embedder | INFO     | ✓ Batch embedding complete
2026-06-09 12:39:30.610 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-09 12:39:30.675 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-09 12:39:31.352 | embedder | ERROR    | Gemini embedding error: Models.embed_content() got an unexpected keyword argument 'content'. Did you mean 'contents'?
2026-06-09 12:39:31.856 | embedder | ERROR    | Gemini embedding error: Models.embed_content() got an unexpected keyword argument 'content'. Did you mean 'contents'?
2026-06-09 12:39:31.856 | embedder | INFO     | ✓ Batch embedding complete
2026-06-09 23:46:38.024 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-09 23:46:38.088 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 00:55:39.420 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-10 00:55:39.485 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 00:55:40.044 | youtube_ingester | INFO     | Processing YouTube video: fWm_NKCtXdA
2026-06-10 00:56:06.035 | youtube_ingester | INFO     | Video fWm_NKCtXdA processed. Method: api. Duration: 440s
2026-06-10 00:56:06.039 | youtube_ingester | INFO     | Saved processed transcript to data/knowledge_base/youtube/fWm_NKCtXdA.json
2026-06-10 00:56:06.043 | embedder | ERROR    | Gemini embedding error: Models.embed_content() got an unexpected keyword argument 'content'. Did you mean 'contents'?
2026-06-10 00:56:06.102 | source_registry | DEBUG    | Chroma query failed during deduplication: list index out of range in query.
2026-06-10 00:59:33.283 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-10 00:59:33.331 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 00:59:33.878 | youtube_ingester | INFO     | Processing YouTube video: fWm_NKCtXdA
2026-06-10 00:59:55.836 | youtube_ingester | INFO     | Video fWm_NKCtXdA processed. Method: api. Duration: 440s
2026-06-10 00:59:55.839 | youtube_ingester | INFO     | Saved processed transcript to data/knowledge_base/youtube/fWm_NKCtXdA.json
2026-06-10 00:59:57.192 | embedder | ERROR    | Gemini embedding error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/text-embedding-004 is not found for API version v1beta, or is not supported for embedContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-06-10 00:59:57.236 | source_registry | DEBUG    | Chroma query failed during deduplication: list index out of range in query.
2026-06-10 01:23:32.685 | embedder | INFO     | Initializing Gemini Embeddings (text-embedding-004)...
2026-06-10 01:23:32.735 | embedder | INFO     | ✓ Gemini Embeddings ready (text-embedding-004)
2026-06-10 01:23:33.291 | youtube_ingester | INFO     | Processing YouTube video: fWm_NKCtXdA
2026-06-10 01:23:44.172 | youtube_ingester | INFO     | Video fWm_NKCtXdA processed. Method: api. Duration: 440s
2026-06-10 01:23:44.175 | youtube_ingester | INFO     | Saved processed transcript to data/knowledge_base/youtube/fWm_NKCtXdA.json
2026-06-10 01:23:49.185 | source_registry | DEBUG    | Chroma query failed during deduplication: Collection expecting embedding with dimension of 1024, got 3072
